id;dart;x;y;z
254;0x600001e67dc0;-0.53033;0;-0.53033
255;0x600001e677c0;-0.707107;0.25;-0.707107
256;0x600001e675c0;-0.795495;0.216506;-0.795495
257;0x600001e5e780;-1.20741;0;-0.323524
258;0x600001e673c0;-0.8602;0.125;-0.8602
259;0x600001e5fdc0;-1.11538;-0.216506;-0.146842
260;0x600001e52bc0;-0.991445;-0.25;0.130526
261;0x600001e67bc0;-0.554014;0.125;-0.554013
262;0x600001e58780;-0.883884;0;-0.883883
263;0x600001e6e9c0;0;0.216506;-0.875
264;0x600001e767c0;0.8602;-0.125;-0.8602
265;0x600001e581c0;-0.618719;-0.216506;-0.618718
266;0x600001e32fc0;0.991445;0.25;0.130526
267;0x600001e665c0;-0.456571;0;-0.595015
268;0x600001e52f80;-1.23931;-0;0.163158
269;0x600001e5c5c0;-0.69291;0;-0.287013
270;0x600001e5a5c0;-0.974278;0.216506;-0.5625
271;0x600001e587c0;-0.8602;-0.125;-0.8602
272;0x600001e65fc0;-0.608761;0.25;-0.793353
273;0x600001e647c0;-0.5;0.25;-0.866026
274;0x600001e65dc0;-0.684857;0.216506;-0.892522
275;0x600001e3c7c0;0.860199;-0.125;0.8602
276;0x600001e405c0;-0.291172;-0.216506;1.08667
277;0x600001e65bc0;-0.740562;0.125;-0.965119
278;0x600001e657c0;-0.608253;-0.125;-1.05353
279;0x600001e655c0;-0.5625;-0.216506;-0.974279
280;0x600001e653c0;-0.5;-0.25;-0.866026
281;0x600001e3abc0;0.608761;-0.25;0.793353
282;0x600001e651c0;-0.4375;-0.216506;-0.757772
283;0x600001e649c0;-0.4375;0.216506;-0.757772
284;0x600001e64dc0;-0.375;0;-0.649519
285;0x600001e64bc0;-0.391747;0.125;-0.678525
286;0x600001e43dc0;0.146842;0.216506;1.11538
287;0x600001e493c0;-0.8602;0.125;0.8602
288;0x600001e6df80;0.163158;0;-1.23931
289;0x600001e6c3c0;0.258819;-0.25;-0.965926
290;0x600001e635c0;-0.287013;0;-0.69291
291;0x600001e643c0;-0.608253;0.125;-1.05353
292;0x600001e4b9c0;-0.532667;-0.216506;0.694184
293;0x600001e679c0;-0.618719;0.216506;-0.618718
294;0x600001e7e7c0;0.776791;-0.125;-0.102266
295;0x600001e503c0;-1.21651;0.125;0
296;0x600001e62fc0;-0.382684;0.25;-0.92388
297;0x600001e759c0;0.618718;0.216506;-0.618719
298;0x600001e637c0;-0.29983;-0.125;-0.723854
299;0x600001e631c0;-0.334848;0.216506;-0.808395
300;0x600001e5dfc0;-0.756797;-0.125;-0.202783
301;0x600001e4c9c0;-0.4375;0.216506;0.757772
302;0x600001e6dfc0;0.158786;-0.125;-1.2061
303;0x600001e5e1c0;-0.845185;-0.216506;-0.226467
304;0x600001e32c80;1.125;0.216506;0
305;0x600001e4ddc0;-0.430519;0.216506;1.03936
306;0x600001e62dc0;-0.430519;0.216506;-1.03936
307;0x600001e60bc0;-0.130526;-0.25;-0.991445
308;0x600001e613c0;-0.314855;0.125;-1.17506
309;0x600001e557c0;-0.723854;-0.125;0.29983
310;0x600001e3fdc0;1.03936;0.216506;0.430519
311;0x600001e62bc0;-0.465537;0.125;-1.1239
312;0x600001e71dc0;1.03936;-0.216506;-0.430519
313;0x600001e63f80;-0.478354;0;-1.15485
314;0x600001e445c0;0.097895;-0;0.743584
315;0x600001e705c0;1.08667;-0.216506;-0.291171
316;0x600001e627c0;-0.314855;-0.125;-1.17506
317;0x600001e4abc0;-0.740563;0.125;0.965119
318;0x600001e3c3c0;0.707106;-0.25;0.707107
319;0x600001e6d1c0;0.11421;0.216506;-0.867514
320;0x600001e61fc0;-0.202783;-0.125;-0.756797
321;0x600001e44f80;0.163158;-0;1.23931
